timestamp,id,nombre_negocio,email,especialidad,codigo_cupon,estado,mensaje
2026-05-24T12:08:32,1,Clinica Tolima,info@clinicatolima.com,Hospitalaria,LAPCLI9586E,enviado,OK
2026-05-24T12:08:40,1,Clinica Tolima,info@clinicatolima.com,Hospitalaria,LAPCLI9586E,enviado,OK
2026-05-24T12:08:49,2,Clinica Medicadiz,servicliente@medicadiz.com.co,Multiespecialidad,LAPCLI98D66,enviado,OK
2026-05-24T12:08:58,3,Centro Medicina Nuclear Tolima,citas@cmndeltolima.com,Radiologia,LAPCENBD9A1,enviado,OK
2026-05-24T12:09:07,4,Clinica Odontologica Dr. Cesar Cobaleda,info@doctorcesarcobaleda.com,Odontologia Estetica,LAPCLI92B3C,enviado,OK
2026-05-24T12:09:16,5,MHB Clinica Dermatologica,contacto@mhbdermatologica.com,Dermatologia,LAPMHB60001,enviado,OK
2026-05-24T12:09:26,6,Edificio Surgimedica,contacto@surgimedica.com.co,Dermatologia Estetica,LAPEDI12890,enviado,OK
2026-05-24T12:09:35,7,Centro Medico Javeriano,info@centromedicojaveriano.com,Multiespecialidad,LAPCEND74AB,enviado,OK
2026-05-24T12:09:44,8,Cedicaf,info@cedicaf.com,Multiespecialidad,LAPCED5F26A,enviado,OK
2026-05-24T12:09:53,9,Centro Medico la 37,info@centromedicola37.com,Medicina General,LAPCEN23C57,enviado,OK
2026-05-24T12:10:02,10,Clinica de Ibague,info@clinicadeibague.com,Multiespecialidad,LAPCLI0A762,enviado,OK
2026-05-24T12:10:11,11,Clinica de Ojos del Tolima,info@ojosdeltolima.com,Oftalmologia,LAPCLI08865,enviado,OK
2026-05-24T12:10:20,12,Clinica Centro Medico La Quinta,info@laquinta.com,Multiespecialidad,LAPCLI1EA7D,enviado,OK
2026-05-24T12:10:29,13,Clinica Minerva,info@clinicaminerva.com,Multiespecialidad,LAPCLI16ABE,enviado,OK
2026-05-24T12:10:38,14,Clinica Nueva,info@clinicanueva.com,Multiespecialidad,LAPCLI17AE2,enviado,OK
2026-05-24T12:10:47,15,Creasalud Ltda,info@creasalud.com,Multiespecialidad,LAPCREED2D7,enviado,OK
2026-05-25T07:19:10,1,Clinica Tolima,info@clinicatolima.com,Hospitalaria,LAPCLI9586E,enviado,OK
2026-05-25T08:01:47,1,Clinica Tolima,info@clinicatolima.com,Hospitalaria,LAPCLI9586E,enviado,OK
2026-05-25T08:01:56,2,Clinica Medicadiz,servicliente@medicadiz.com.co,Multiespecialidad,LAPCLI98D66,enviado,OK
2026-05-25T08:02:07,3,Centro Medicina Nuclear Tolima,citas@cmndeltolima.com,Radiologia,LAPCENBD9A1,enviado,OK
2026-05-25T08:02:16,4,Clinica Odontologica Dr. Cesar Cobaleda,info@doctorcesarcobaleda.com,Odontologia Estetica,LAPCLI92B3C,enviado,OK
2026-05-25T08:02:25,5,MEDIFEM Ginecologia Ibague,medifemibague@gmail.com,Ginecologia y Obstetricia,LAPMED4E087,enviado,OK
2026-05-25T08:02:35,6,Cedicaf Imagenes Diagnosticas,citasibague@cedicaf.com,Imagenes Diagnosticas,LAPCEDDAAA3,enviado,OK
2026-05-25T08:02:44,7,Clinaltec Oncologia Ibague,citas@clinaltec.com.co,Oncologia y Especialidades,LAPCLI24E01,enviado,OK
2026-05-25T08:02:53,8,Clinica Nuestra Ibague,citas@ibague.clinicanuestra.com,Multiespecialidad,LAPCLI6663E,enviado,OK
2026-05-25T08:03:03,9,Meintegral Ibague,referencia.meintegral.sas@gmail.com,Multiespecialidad,LAPMEIA71B1,enviado,OK
2026-05-25T08:03:12,10,ClinicaMia Endocrinologia,info@clinicamia.co,Endocrinologia y Cirugia Plastica,LAPCLI69BBF,enviado,OK
2026-05-25T08:03:21,11,Vision Pediatrica Ibague,info@visionpediatricaibague.com.co,Oftalmologia Pediatrica,LAPVIS4F57D,enviado,OK
2026-05-25T08:03:30,12,Dentix Ibague,ibague@dentix.com.co,Odontologia,LAPDENF6E53,enviado,OK
2026-05-25T08:03:39,13,Gestamos Reproduccion Asistida,info@gestamos.com.co,Reproduccion Asistida,LAPGES9B849,enviado,OK
2026-05-25T08:03:48,14,Symetria Maxilofacial Ibague,info@symetriamaxilofacial.com,Cirugia Maxilofacial,LAPSYMAACCB,enviado,OK
2026-05-25T08:03:57,15,Diacorsa Instituto del Corazon,informacion@institutodelcorazon.org,Cardiologia,LAPDIA07ED2,enviado,OK
2026-05-25T08:04:06,16,Unifertil Ibague Medicina Reproductiva,director@unifertil.co,Fertilidad Reproduccion,LAPUNI9651F,enviado,OK
2026-05-25T08:04:15,17,Clinaltec Radioterapia,pqr@clinaltec.com.co,Radioterapia,LAPCLIF2675,enviado,OK
2026-05-25T08:04:24,18,Centro Medico la 37,info@centromedicola37.co,Medicina General,LAPCENB0D1C,enviado,OK
2026-05-25T08:04:33,19,Innova Odontologia Premium Ibague,innovaodontologia2022@gmail.com,Ortodoncia Estetica,LAPINNDF525,enviado,OK
