id,nombre_negocio,email,estado,fecha_envio,fecha_respuesta,asunto_respuesta,preview_respuesta,tipo_respuesta,notas
1,Clinica Tolima,info@clinicatolima.com,enviado_sin_respuesta,2026-05-25T08:01:47,,,,,
2,Clinica Medicadiz,servicliente@medicadiz.com.co,enviado_sin_respuesta,2026-05-25T08:01:56,,,,,
3,Centro Medicina Nuclear Tolima,citas@cmndeltolima.com,enviado_sin_respuesta,2026-05-25T08:02:07,,,,,
4,Clinica Odontologica Dr. Cesar Cobaleda,info@doctorcesarcobaleda.com,enviado_sin_respuesta,2026-05-25T08:02:16,,,,,
5,MEDIFEM Ginecologia Ibague,medifemibague@gmail.com,enviado_sin_respuesta,2026-05-25T08:02:25,,,,,
6,Cedicaf Imagenes Diagnosticas,citasibague@cedicaf.com,enviado_sin_respuesta,2026-05-25T08:02:35,,,,,
7,Clinaltec Oncologia Ibague,citas@clinaltec.com.co,enviado_sin_respuesta,2026-05-25T08:02:44,,,,,
8,Clinica Nuestra Ibague,citas@ibague.clinicanuestra.com,enviado_sin_respuesta,2026-05-25T08:02:53,,,,,
9,Meintegral Ibague,referencia.meintegral.sas@gmail.com,enviado_sin_respuesta,2026-05-25T08:03:03,,,,,
10,ClinicaMia Endocrinologia,info@clinicamia.co,enviado_sin_respuesta,2026-05-25T08:03:12,,,,,
11,Vision Pediatrica Ibague,info@visionpediatricaibague.com.co,enviado_sin_respuesta,2026-05-25T08:03:21,,,,,
12,Dentix Ibague,ibague@dentix.com.co,enviado_sin_respuesta,2026-05-25T08:03:30,,,,,
13,Gestamos Reproduccion Asistida,info@gestamos.com.co,enviado_sin_respuesta,2026-05-25T08:03:39,,,,,
14,Symetria Maxilofacial Ibague,info@symetriamaxilofacial.com,enviado_sin_respuesta,2026-05-25T08:03:48,,,,,
15,Diacorsa Instituto del Corazon,informacion@institutodelcorazon.org,enviado_sin_respuesta,2026-05-25T08:03:57,,,,,
16,Unifertil Ibague Medicina Reproductiva,director@unifertil.co,enviado_sin_respuesta,2026-05-25T08:04:06,,,,,
17,Clinaltec Radioterapia,pqr@clinaltec.com.co,enviado_sin_respuesta,2026-05-25T08:04:15,,,,,
18,Centro Medico la 37,info@centromedicola37.co,enviado_sin_respuesta,2026-05-25T08:04:24,,,,,
19,Innova Odontologia Premium Ibague,innovaodontologia2022@gmail.com,enviado_sin_respuesta,2026-05-25T08:04:33,,,,,
21,Clinica de Ojos del Tolima,unidaddeojoseco@clinicadeojosdeltolima.com,enviado_sin_respuesta,2026-05-25T08:04:43,,,,,
23,Unidad Materno Infantil del Tolima UMIT,gerencia@umit.com.co,enviado_sin_respuesta,2026-05-25T08:04:52,,,,,
26,UNICAT Unidad de Cirugia del Tolima,citas@unicat.com.co,enviado_sin_respuesta,2026-05-25T08:05:01,,,,,
30,IOM Imagenes Orales Maxilofaciales Ibague,iomrayosx@gmail.com,enviado_sin_respuesta,2026-05-25T08:05:10,,,,,
31,Vision Center Ibague,visioncenteroptical@hotmail.com,enviado_sin_respuesta,2026-05-25T08:05:19,,,,,
33,Dra Lina Hernandez Dermatologa Ibague,linamhdermato@gmail.com,enviado_sin_respuesta,2026-05-25T08:05:28,,,,,
38,Cirugia Plastica Dr Mario Cruz,info@mariocruzcirujanoplastico.com,enviado_sin_respuesta,2026-05-25T08:05:37,,,,,
41,Unidad Endogastro del Tolima Dr Ayala,info@unidadendogastro.com,enviado_sin_respuesta,2026-05-25T08:05:46,,,,,
44,UROTOL Cooperativa Urologos Tolima,urotol@hotmail.com,enviado_sin_respuesta,2026-05-25T08:05:55,,,,,
48,Sociedad Colombiana Pediatria Tolima,scp_r_tolima@yahoo.com,enviado_sin_respuesta,2026-05-25T08:06:05,,,,,
51,Virrey Solis IPS Ibague Odontologia,servicioalcliente@virreysolisips.com,enviado_sin_respuesta,2026-05-25T08:06:14,,,,,
52,Orthodent Clinica Dental Ortodoncia Ibague,info@orthodentibague.com,enviado_sin_respuesta,2026-05-25T08:06:23,,,,,
59,Odontoreir Clinica Dental Ibague,odontoreirsa@gmail.com,enviado_sin_respuesta,2026-05-25T08:06:32,,,,,
60,Dentoman Clinica Odontologica Ibague,contacto@dentoman.com,enviado_sin_respuesta,2026-05-25T08:06:42,,,,,
61,Tu Pediatra IPS Ibague,tupediatraibague@gmail.com,enviado_sin_respuesta,2026-05-25T08:06:51,,,,,
62,Laboratorio Diagnosticar Ibague,gerenciadiagnosticar@gmail.com,enviado_sin_respuesta,2026-05-25T08:07:00,,,,,
63,Laboratorio Clinico Central Ibague,contacto@laboratorioclinicocentral.com.co,enviado_sin_respuesta,2026-05-25T08:07:09,,,,,
64,Dermatologia Estetica Surgimedica,dermatologiaibague@gmail.com,enviado_sin_respuesta,2026-05-25T08:07:18,,,,,
65,Oralvant Odontologia Ibague,info@oralvant.com,enviado_sin_respuesta,2026-05-25T08:07:27,,,,,
66,Dra Diana Bravo Ginecologa Fertilidad,dipabraos@hotmail.com,enviado_sin_respuesta,2026-05-25T08:07:36,,,,,
67,Dra Daniela Ceballos Odontologa Ibague,danielaceballosodonto@gmail.com,enviado_sin_respuesta,2026-05-25T08:07:45,,,,,
68,Dr Ricardo Becerra Cirujano Plastico Ibague,info@drricardobecerra.com.co,enviado_sin_respuesta,2026-05-25T08:07:54,,,,,
69,Dr Eduardo Estupinan Odontopediatra,info@dreduardoestupinan.com,enviado_sin_respuesta,2026-05-25T08:08:03,,,,,
71,Los Odontologos Ibague,info@losodontologos.com,enviado_sin_respuesta,2026-05-25T08:08:12,,,,,
72,Reirmas Odontologia Ibague,info@reirmas.com,enviado_sin_respuesta,2026-05-25T08:08:21,,,,,
73,Clinica Sonrisa Bella Ibague,info@clinicasonrisabellaibague.com,enviado_sin_respuesta,2026-05-25T08:08:30,,,,,
74,Dr Jaime Andres Benavides Diseno Sonrisa,contacto@jabn.com.co,enviado_sin_respuesta,2026-05-25T08:08:40,,,,,
75,Periodontics Dr Johanna Calderon Ibague,info@periodoncistajohannacalderon.com,enviado_sin_respuesta,2026-05-25T08:08:49,,,,,
76,Dra Ana Carolina Castillo HEB Estetic,info@hebestetic.com,enviado_sin_respuesta,2026-05-25T08:08:58,,,,,
79,Cirugia Plastica Dr Luis Oliveros,info@droliveroscirugiaplastica.com,enviado_sin_respuesta,2026-05-25T08:09:07,,,,,
80,Cirugia Estetica Dr Armando Pena,armandopenacirujanoplastico@gmail.com,enviado_sin_respuesta,2026-05-25T08:09:16,,,,,
81,Unico Spa Ibague Belleza Limonar,unicospaibague@gmail.com,enviado_sin_respuesta,2026-05-25T08:09:25,,,,,
82,Aqua Stetic Spa Ibague,info@aquastetic.com,enviado_sin_respuesta,2026-05-25T08:09:34,,,,,
83,Clinica Corpus Ibague Limonar,info@clinicacorpus.com.co,enviado_sin_respuesta,2026-05-25T08:09:43,,,,,
84,Dents Odontologia Estetica Implantologia Ibague,dentsibague@gmail.com,enviado_sin_respuesta,2026-05-25T08:09:52,,,,,
85,Adriana Huertas Nutricionista Ibague,info@adrianahuertas.com,enviado_sin_respuesta,2026-05-25T08:10:01,,,,,
88,Total Hair Colombia Ibague,info@totalhaircolombia.com,enviado_sin_respuesta,2026-05-25T08:10:10,,,,,
89,Fisio Ibague Centro Fisioterapia,info@fisioibague.com,enviado_sin_respuesta,2026-05-25T08:10:19,,,,,
91,Laboratorio Clinico Naizir Ibague,naizirlaboratorio@gmail.com,enviado_sin_respuesta,2026-05-25T08:10:29,,,,,
93,Centro Medico Ocupacional CMO Ibague,cmo.saludocupacional@hotmail.com,enviado_sin_respuesta,2026-05-25T08:10:38,,,,,
95,IPS Femsalud Ibague,info@ipsfemsalud.com,enviado_sin_respuesta,2026-05-25T08:10:47,,,,,
96,UMIT Citas Medicas Maternidad,citasmedicas@umit.com.co,enviado_sin_respuesta,2026-05-25T08:10:56,,,,,
102,IPS Vacunar Ibague,vacunarcolombiaibague2023@gmail.com,enviado_sin_respuesta,2026-05-25T08:11:05,,,,,
105,Instituto Oftalmologico del Tolima,citas@iotolima.com,enviado_sin_respuesta,2026-05-25T08:11:14,,,,,
106,Clinica de Ojos del Tolima Citas Particulares,citasparticulares@clinicadeojosdeltolima.com,enviado_sin_respuesta,2026-05-25T08:11:23,,,,,
107,Dra Catherine Meneses Psiquiatra Ibague,catherinemeneses.psi@gmail.com,enviado_sin_respuesta,2026-05-25T08:11:32,,,,,
110,Neurocad SAS Ibague Sueno,neurocadsas30@gmail.com,enviado_sin_respuesta,2026-05-25T08:11:44,,,,,
115,Nazar Oftalmologos Ibague,info@nazaroftalmologos.com,enviado_sin_respuesta,2026-05-25T08:11:53,,,,,
116,Orsovision Opticas Ibague,direccioncomercial@orsovisionopticas.com,enviado_sin_respuesta,2026-05-25T08:12:02,,,,,
117,GAES Ibagué Multicentro Audifonos,gaes.colombia@gaes.es,enviado_sin_respuesta,2026-05-25T08:12:10,,,,,
122,SORE Salud Ocupacional Ibague,soreibague@gmail.com,enviado_sin_respuesta,2026-05-25T08:12:20,,,,,
123,Dr Thomas Torres Cuenca Fisiatra Ibague,torrescuenca.fisiatra@gmail.com,enviado_sin_respuesta,2026-05-25T08:12:29,,,,,
124,Salud Integral y Complementaria Ibague,saludintegralycomplementaria@gmail.com,enviado_sin_respuesta,2026-05-25T08:12:38,,,,,
125,Salud Plena Centro Medicinas Alternativas,info@saludplenaalternativa.com,enviado_sin_respuesta,2026-05-25T08:12:47,,,,,
